num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,trades_per_day
45,33.33333333333333,0.5237273394412283,-31.891168515758718,-32.65858807600181,-0.40754653268137075,681.0883148424128,164.44393576962784,XAUT,50,0.17857142857142858
35,28.57142857142857,0.43594803838234547,-30.787648885131514,-31.119119818790164,-0.5071756639721673,692.1235111486849,121.45191998926195,XAUT,60,0.1388888888888889
28,28.57142857142857,0.48006100350888076,-22.715444312743536,-22.715444312743536,-0.44196502178092284,772.8455568725647,92.43477142691441,XAUT,70,0.1111111111111111
20,25.0,0.4407337311473461,-19.415280428782864,-19.415280428782864,-0.5202121531931552,805.8471957121714,68.6422732003911,XAUT,80,0.07936507936507936
7,28.57142857142857,0.546166992530456,-5.5977107955716745,-7.242457992644316,-0.39205728426218794,944.0228920442833,22.01403100306869,XAUT,90,0.027777777777777776
91,52.74725274725275,0.9712583132164577,-3.708023720032225,-21.186419462703427,-0.0014786064375229362,962.9197627996778,545.7092586451602,SP500/USD,0,0.3654618473895582
69,56.52173913043478,1.1710248910893306,16.636150504531226,-11.961117199984031,0.13119667379182562,1166.3615050453122,423.22757264614455,SP500/USD,20,0.27710843373493976
59,61.016949152542374,1.4524311741593479,37.90782426795761,-8.48850699233918,0.2923787811338801,1379.078242679576,395.67851357947023,SP500/USD,30,0.23694779116465864
49,61.224489795918366,1.6186389898644076,42.865427792189124,-8.224542579879584,0.3854344202033988,1428.6542779218912,335.27582192456373,SP500/USD,40,0.19678714859437751
43,60.46511627906976,1.554521063688543,32.52650962613261,-8.224542579879577,0.34896208329578027,1325.265096261326,267.6044354873015,SP500/USD,50,0.17269076305220885
32,65.625,1.939386288801201,34.62544862031918,-6.24523718049979,0.4866334043343219,1346.2544862031918,190.86805344134075,SP500/USD,60,0.1285140562248996
22,63.63636363636363,1.7611623248546562,19.400692055053103,-8.07440009169391,0.42459033318917255,1194.006920550531,129.5184687091809,SP500/USD,70,0.08835341365461848
17,70.58823529411765,2.5515001059798337,24.668925445244327,-5.746578774889277,0.6718727656312099,1246.6892544524433,104.6625010320758,SP500/USD,80,0.06827309236947791
10,80.0,4.63666966722444,21.3420414446131,-2.8554740643408074,0.9909280003049806,1213.420414446131,55.773985170088906,SP500/USD,90,0.040160642570281124
85,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,0.07225536118871925,1093.6272193401494,451.9166011980782,NASDAQ100/USD,0,0.3413654618473896
72,51.388888888888886,1.1528561803511126,16.858314055696816,-16.98160699621199,0.1279432489383313,1168.5831405569681,405.14048851586983,NASDAQ100/USD,20,0.2891566265060241
61,50.81967213114754,1.1341037730537555,12.393832923761101,-20.43463893153721,0.11507306133977901,1123.938329237611,343.1186028411907,NASDAQ100/USD,30,0.24497991967871485
