symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,short,2026-03-13 14:45:00+00:00,2026-03-15 22:00:00+00:00,take_profit,3.590741258756553,1.7953706293782765,349.2364973048553
XAUT/USDT:USDT,v1_sniper,short,2026-03-16 07:30:00+00:00,2026-03-16 09:00:00+00:00,take_profit,3.0973537340619814,1.5486768670309907,352.33385103891726
NCCO1OILBRENT2USD/USDT:USDT,v1_sniper,short,2026-03-16 09:30:00+00:00,2026-03-16 10:15:00+00:00,take_profit,3.4305667329357026,1.7152833664678513,355.76441777185295
SOL/USDT:USDT,v1_sniper,short,2026-03-16 08:30:00+00:00,2026-03-16 12:00:00+00:00,stop_loss,-2.263536901903481,-1.1317684509517405,353.50088086994947
BTC/USDT:USDT,v1_sniper,short,2026-03-16 08:00:00+00:00,2026-03-16 12:30:00+00:00,stop_loss,-2.4116753710744336,-1.2058376855372168,351.08920549887506
BNB/USDT:USDT,v1_sniper,short,2026-03-16 08:30:00+00:00,2026-03-16 13:30:00+00:00,stop_loss,-2.3323382408289706,-1.1661691204144853,348.7568672580461
SOL/USDT:USDT,v1_sniper,short,2026-03-17 08:45:00+00:00,2026-03-17 10:45:00+00:00,take_profit,3.72979665028654,1.86489832514327,352.4866639083326
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-03-17 09:30:00+00:00,2026-03-17 13:15:00+00:00,take_profit,3.2598902233016513,1.6299451116508257,355.74655413163424
NCCOXAG2USD/USDT:USDT,v1_sniper,short,2026-03-17 14:15:00+00:00,2026-03-17 15:30:00+00:00,take_profit,3.6339610019748196,1.8169805009874098,359.38051513360904
NCSKAAPL2USD/USDT:USDT,v1_sniper,long,2026-03-16 13:45:00+00:00,2026-03-17 19:00:00+00:00,time_exit,1.6205380112993504,0.8102690056496752,361.0010531449084
ADA/USDT:USDT,v1_sniper,long,2026-03-17 08:00:00+00:00,2026-03-17 20:00:00+00:00,time_exit,0.8328857754426664,0.4164428877213332,361.83393892035104
BNB/USDT:USDT,v1_sniper,long,2026-03-17 14:30:00+00:00,2026-03-18 02:30:00+00:00,time_exit,1.3361888977130318,0.6680944488565159,363.1701278180641
SOL/USDT:USDT,v1_sniper,long,2026-03-18 09:15:00+00:00,2026-03-18 10:30:00+00:00,stop_loss,-2.6341903550138115,-1.3170951775069057,360.5359374630503
HYPE/USDT:USDT,v1_sniper,long,2026-03-18 16:00:00+00:00,2026-03-18 16:45:00+00:00,take_profit,3.801153993791201,1.9005769968956006,364.3370914568415
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2026-03-18 14:30:00+00:00,2026-03-18 19:30:00+00:00,take_profit,3.711499664534145,1.8557498322670725,368.04859112137564
