combo_id,symbol,mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
6,BTC,reversal,75,30,True,False,True,False,2.0,132,38.63636363636363,0.745078705462662,-342.4683046688251,-39.98763587790614
6,ETH,reversal,75,30,True,False,True,False,2.0,128,47.65625,1.0389981708242013,50.562444419146914,-14.322120938141985
6,XAUT,reversal,75,30,True,False,True,False,2.0,144,26.38888888888889,0.33854666853236187,-798.3459538664983,-80.43222423818624
6,SP500/USD,reversal,75,30,True,False,True,False,2.0,42,30.952380952380953,0.1766592239804556,-466.2046276786102,-46.62046276786102
6,NASDAQ100/USD,reversal,75,30,True,False,True,False,2.0,45,44.44444444444444,0.9555482285265692,-23.71085507851319,-11.38019371956838
6,OIL_BRENT/USD,reversal,75,30,True,False,True,False,2.0,42,38.095238095238095,0.6333475773130022,-168.80423890223153,-23.074962131219742
6,SILVER/USD,reversal,75,30,True,False,True,False,2.0,74,31.08108108108108,0.5132708408873519,-454.5344920722589,-49.015423839337906
6,HYPE,reversal,75,30,True,False,True,False,2.0,110,38.18181818181819,0.6740933438152135,-329.94746202120507,-34.2630550330396
6,AAPL/USD,reversal,75,30,True,False,True,False,2.0,49,18.367346938775512,0.23108357046533515,-436.1301300077638,-43.61301300077638
6,AMZN/USD,reversal,75,30,True,False,True,False,2.0,53,33.9622641509434,0.4890218660242284,-300.68224982694414,-31.945095943145414
7,BTC,reversal,75,30,True,False,False,True,2.0,45,40.0,0.8178772726723422,-89.28324973254576,-12.873285619644218
7,ETH,reversal,75,30,True,False,False,True,2.0,49,42.857142857142854,1.009778919200781,5.139376709324665,-11.822296759812309
7,XAUT,reversal,75,30,True,False,False,True,2.0,39,25.64102564102564,0.26510206720487406,-403.25252764549816,-40.325252764549816
7,SP500/USD,reversal,75,30,True,False,False,True,2.0,19,36.84210526315789,0.3487008582539511,-157.7855490105983,-18.20139428674573
