num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,use_trend_filter,ema_filter,trades_per_day
8,37.5,1.0408289812807239,0.42977255382646723,-5.086697797081968,0.04674221950827309,1004.2977255382647,18.694578095121855,ETH/USDT:USDT,70,False,ema_t,0.031746031746031744
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,70,True,none,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,70,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,70,True,ema_t,0.0
11,27.27272727272727,0.7011435034806671,-4.785600537849973,-12.52374830461817,-0.20575830825005959,952.1439946215003,22.546328102103818,ETH/USDT:USDT,80,False,none,0.04365079365079365
9,22.22222222222222,0.5542047898560967,-6.000715001202309,-10.54378826847655,-0.32770686607312116,939.9928499879769,18.151809163298893,ETH/USDT:USDT,80,False,ema_only,0.03571428571428571
6,33.33333333333333,0.9243174415527502,-0.6108189959027641,-5.414390972878656,-0.031863656174459,993.8918100409724,13.065803235564593,ETH/USDT:USDT,80,False,ema_t,0.023809523809523808
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,80,True,none,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,80,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,80,True,ema_t,0.0
6,16.666666666666664,0.4606849385203889,-4.420783905056692,-5.735593871598973,-0.3637141794699854,955.7921609494331,8.422148687308626,ETH/USDT:USDT,90,False,none,0.023809523809523808
5,20.0,0.6258629475160845,-2.2574192833907887,-3.601988997732275,-0.21512414223898618,977.4258071660921,7.096314014247376,ETH/USDT:USDT,90,False,ema_only,0.01984126984126984
4,25.0,0.7265100133000624,-1.4215448845851142,-2.777613081915157,-0.16291416817256293,985.7845511541489,6.027122582658123,ETH/USDT:USDT,90,False,ema_t,0.015873015873015872
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,90,True,none,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,90,True,ema_only,0.0
