num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,tp_rr_ratio
54,44.44444444444444,0.9103249765192831,-5.90908199905823,-15.604176283769677,-0.04205914826235325,940.9091800094177,127.1695701241119,ETH,30,1.5
67,41.7910447761194,0.5431408838263393,-37.36554312500615,-37.36554312500615,-0.3348352157610483,626.3445687499385,244.74375529259538,XAUT,30,1.5
59,61.016949152542374,1.1500295414949029,10.90520936622372,-13.555855675847209,0.10212638060129889,1109.0520936622372,350.30895639463523,SP500/USD,30,1.5
61,54.09836065573771,0.9349160220107783,-5.15658559516927,-24.661038698368255,-0.02917307103844797,948.4341440483073,310.68733725953905,NASDAQ100/USD,30,1.5
29,58.620689655172406,1.4881066056614656,17.71326314566461,-13.567926810815232,0.29808828115201425,1177.132631456646,74.92537537678609,OIL_BRENT/USD,30,1.5
28,57.14285714285714,1.438455501741548,13.667482077256318,-9.048179540486492,0.24388185976127047,1136.6748207725632,70.90724248416892,SILVER/USD,30,1.5
81,50.617283950617285,1.2384388573501686,25.17505658070324,-13.521386765901822,0.15433773688532537,1251.7505658070324,160.56642224472066,HYPE/USD,30,1.5
39,41.02564102564102,0.6077227607501973,-20.130972787222458,-20.130972787222458,-0.27253038258298995,798.6902721277754,130.64036208499252,AAPL/USD,30,1.5
60,53.333333333333336,1.0416666500002543,3.3504858514007765,-25.877951622615313,0.04288717248322936,1033.5048585140078,234.55047816413384,AMZN/USD,30,1.5
72,29.166666666666668,0.5536603659860837,-47.02303689393191,-50.416026538086186,-0.42141815509561703,529.7696310606809,183.23544381315975,BTC,30,2.0
53,32.075471698113205,0.6874967595641623,-22.090365433607108,-28.58419028244833,-0.21727772856904373,779.0963456639289,107.4918524624114,ETH,30,2.0
67,32.83582089552239,0.4941515882909231,-45.352420843909286,-45.352420843909286,-0.43271664002212706,546.4757915609072,230.97080563685634,XAUT,30,2.0
59,61.016949152542374,1.4524311741593479,37.90782426795761,-8.48850699233918,0.2923787811338801,1379.078242679576,395.67851357947023,SP500/USD,30,2.0
61,50.81967213114754,1.1341037730537555,12.393832923761101,-20.43463893153721,0.11507306133977901,1123.938329237611,343.1186028411907,NASDAQ100/USD,30,2.0
29,48.275862068965516,1.327200757028967,13.892530443026613,-15.386224314458493,0.24685354117274336,1138.9253044302661,73.40517679433023,OIL_BRENT/USD,30,2.0
28,50.0,1.4401826514908522,16.705878792476323,-12.42445514799557,0.2977157883327019,1167.0587879247632,73.47222920496105,SILVER/USD,30,2.0
81,45.67901234567901,1.377393817190425,45.29647829301259,-15.421398945003887,0.2529933970584802,1452.964782930126,167.01089543865538,HYPE/USD,30,2.0
39,41.02564102564102,0.7884922990129185,-11.353178270839761,-18.813619842906483,-0.13485878539742577,886.4682172916024,136.47374872966722,AAPL/USD,30,2.0
60,53.333333333333336,1.3837188066766288,37.12418898391313,-22.832344577066646,0.2855059620215197,1371.2418898391313,276.28042510576364,AMZN/USD,30,2.0
72,20.833333333333336,0.43598323855606574,-59.36864488225383,-62.91709099465835,-0.6050838970272958,406.31355117746165,168.09216097808473,BTC,30,2.5
53,30.18867924528302,0.7865297347279547,-16.039081067865858,-30.794076173804285,-0.14179282290866585,839.6091893213414,110.90255984850744,ETH,30,2.5
67,32.83582089552239,0.567679878250103,-40.40166949448911,-40.40166949448911,-0.36502663607364694,595.9833050551089,240.0444872128316,XAUT,30,2.5
59,57.6271186440678,1.5704283471396812,53.177825080646656,-11.753489338059499,0.3886588927192321,1531.7782508064665,402.81171587439707,SP500/USD,30,2.5
61,47.540983606557376,1.1700282074261736,16.998795282297284,-17.305647965737286,0.1536876717257736,1169.9879528229728,340.7118797356959,NASDAQ100/USD,30,2.5
29,41.37931034482759,1.2669499903548296,12.376280106093281,-19.50596530517706,0.22974492048308745,1123.7628010609328,71.6435444506162,OIL_BRENT/USD,30,2.5
28,46.42857142857143,1.5433076266403276,23.380966294861718,-14.449138727067238,0.4049086454755594,1233.8096629486172,76.94649021051102,SILVER/USD,30,2.5
