pase,anchor,confirmer,symbol,horizon,n_signals,n_conclusive,hit_rate,avg_ret_aligned_pct
B_1h_4h,macd,bb,XAUT,4,6080,3356,56.0,0.056
B_1h_4h,macd,ema,XAUT,4,6143,3345,53.3,0.027
B_1h_4h,macd,adx,XAUT,4,9394,5319,48.4,-0.005
B_1h_4h,macd,vol,XAUT,4,5016,3605,50.8,0.017
B_1h_4h,bb,rsi,XAUT,1,565,202,55.4,0.02
B_1h_4h,bb,macd,XAUT,1,675,204,52.5,0.004
B_1h_4h,bb,ema,XAUT,1,693,259,51.4,0.004
B_1h_4h,bb,adx,XAUT,1,1513,602,46.0,-0.016
B_1h_4h,bb,vol,XAUT,1,1130,561,44.7,-0.029
B_1h_4h,bb,rsi,XAUT,2,565,245,66.1,0.05
B_1h_4h,bb,macd,XAUT,2,675,278,57.9,0.021
B_1h_4h,bb,ema,XAUT,2,693,313,56.5,0.008
B_1h_4h,bb,adx,XAUT,2,1513,751,49.1,-0.026
B_1h_4h,bb,vol,XAUT,2,1130,698,45.3,-0.053
B_1h_4h,bb,rsi,XAUT,4,565,330,63.0,0.068
B_1h_4h,bb,macd,XAUT,4,675,386,57.3,0.041
B_1h_4h,bb,ema,XAUT,4,693,407,55.8,0.009
B_1h_4h,bb,adx,XAUT,4,1513,933,50.9,-0.017
B_1h_4h,bb,vol,XAUT,4,1130,803,46.9,-0.054
C_4h_4h,rsi,(solo),XAUT,1,119,76,44.7,-0.028
C_4h_4h,rsi,macd,XAUT,1,18,11,36.4,-0.063
C_4h_4h,rsi,bb,XAUT,1,4,3,33.3,-0.421
C_4h_4h,rsi,ema,XAUT,1,1,0,,0.069
C_4h_4h,rsi,adx,XAUT,1,113,72,44.4,-0.029
C_4h_4h,rsi,vol,XAUT,1,77,48,43.8,-0.031
C_4h_4h,rsi,(solo),XAUT,2,119,89,39.3,-0.086
C_4h_4h,rsi,macd,XAUT,2,18,14,21.4,-0.281
C_4h_4h,rsi,bb,XAUT,2,4,3,0.0,-1.354
C_4h_4h,rsi,ema,XAUT,2,1,1,0.0,-0.266
C_4h_4h,rsi,adx,XAUT,2,113,85,37.6,-0.086
C_4h_4h,rsi,vol,XAUT,2,77,60,40.0,-0.078
C_4h_4h,macd,(solo),XAUT,1,3036,1665,49.7,0.013
C_4h_4h,macd,rsi,XAUT,1,1537,929,52.1,0.033
C_4h_4h,macd,bb,XAUT,1,1518,942,51.4,0.031
C_4h_4h,macd,ema,XAUT,1,1520,855,51.0,0.02
C_4h_4h,macd,adx,XAUT,1,2349,1313,48.6,0.009
C_4h_4h,macd,vol,XAUT,1,1254,866,51.7,0.031
C_4h_4h,macd,(solo),XAUT,2,3035,2015,49.3,0.013
C_4h_4h,macd,rsi,XAUT,2,1537,1097,51.8,0.051
C_4h_4h,macd,bb,XAUT,2,1518,1106,50.5,0.042
C_4h_4h,macd,ema,XAUT,2,1520,1051,50.3,0.027
C_4h_4h,macd,adx,XAUT,2,2348,1578,48.7,0.006
C_4h_4h,macd,vol,XAUT,2,1254,988,51.9,0.047
C_4h_4h,bb,(solo),XAUT,1,491,288,50.0,-0.0
C_4h_4h,bb,rsi,XAUT,1,81,47,51.1,0.034
